

,Kelompok 9,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
,Responden 387,4,3,3,1,4,1,4,3
,Responden 388,3,1,1,4,4,1,2,2
,Responden 389,3,1,1,2,3,1,3,3
,Responden 390,4,3,2,4,4,2,3,4
,Responden 391,3,0,0,3,3,0,4,3
,Responden 392,3,2,2,1,3,1,3,1
,Responden 393,2,2,1,1,3,2,3,1
,Responden 394,3,2,2,1,3,1,3,1
,Responden 395,3,3,3,2,3,2,2,1
,Responden 396,3,1,1,2,1,3,1,3
,Responden 397,3,2,3,3,2,2,3,1
,Responden 398,3,1,1,3,4,0,2,2
,Responden 399,3,2,2,3,4,2,2,3
,Responden 400,3,2,2,3,3,3,3,0
,Responden 401,3,2,1,2,4,1,3,0
,Responden 402,4,2,3,3,1,2,4,4
,Responden 403,2,1,2,2,4,1,2,2
,Responden 404,4,4,2,2,4,1,3,0
,Responden 405,1,0,1,2,4,0,2,1
,Responden 406,3,2,2,3,3,1,2,3
,Responden 407,3,2,2,3,1,3,3,3
,Responden 408,1,2,3,1,2,2,1,1
,Responden 409,4,3,4,4,3,0,4,3
,Responden 410,3,2,2,3,3,3,3,0
,Responden 411,3,2,1,1,4,4,4,3
,Responden 412,3,4,3,2,0,4,1,1
,Responden 413,3,1,3,3,2,4,1,2
,Responden 414,0,2,1,1,3,2,1,3
,Responden 415,1,2,1,1,1,3,2,1
,Responden 416,3,2,1,1,1,4,2,3
,Responden 417,3,2,2,4,3,3,2,3
,Responden 418,4,4,3,2,4,3,2,0
,Responden 419,3,2,2,1,3,3,2,3
,Responden 420,3,2,2,1,3,1,3,3
,Responden 421,3,2,2,4,0,4,3,1
,Responden 422,3,3,2,2,4,3,3,1
,Responden 423,3,3,3,2,4,3,4,3
,Responden 424,2,1,1,2,4,1,3,0
,Responden 425,3,0,1,1,4,0,4,2
,Responden 426,2,1,1,2,4,1,3,0
,Responden 427,3,2,2,2,4,2,2,3
,Responden 428,3,2,2,3,3,2,3,2
,Responden 429,3,2,2,3,3,2,4,3
,Responden 430,4,3,3,2,1,3,3,3
,Responden 431,4,1,2,3,3,2,3,3
,Responden 432,2,3,4,3,4,3,3,3
,Responden 433,4,4,4,1,3,1,3,2
,Responden 434,4,3,3,3,2,3,3,3
,Responden 435,3,2,2,3,3,0,2,3
,Responden 436,3,2,2,3,1,3,3,3
,Responden 437,3,1,1,1,3,1,3,2
,Responden 438,3,3,3,2,4,3,3,3
,Responden 439,2,2,0,4,3,1,4,3
,Responden 440,3,3,3,2,2,3,3,1
,Responden 441,0,0,0,1,4,0,4,1
,Responden 442,3,2,2,3,2,2,3,2
,Responden 443,3,0,0,3,3,0,4,3
,Responden 444,3,2,2,3,2,2,3,2
,Responden 445,3,2,1,2,4,1,3,0
,Responden 446,3,2,2,3,3,2,2,3
,Responden 447,3,1,1,3,4,0,2,2
,Responden 448,4,3,4,3,3,1,1,3
,Responden 449,4,2,3,2,2,2,2,1
,Responden 450,4,3,4,3,3,1,1,3
,Responden 451,3,1,1,4,4,1,2,2
,Responden 452,3,2,2,1,1,1,4,3
,Responden 453,4,3,4,4,3,0,4,3
,Responden 454,3,3,2,1,3,1,3,1
,Responden 455,3,3,3,4,2,2,2,4
,Responden 456,3,2,2,1,3,1,3,1
,Responden 457,3,1,0,3,4,0,4,3
,Responden 458,3,1,1,2,1,3,1,3
,Responden 459,3,2,2,0,4,1,2,3
,Responden 460,3,2,3,3,2,2,3,1
,Responden 461,3,2,2,2,3,2,3,2
,Responden 462,4,1,2,4,4,3,4,3
,Responden 463,3,3,2,3,2,2,2,1
,Responden 464,4,2,3,3,1,2,4,4
,Responden 465,3,3,3,2,4,3,3,3
,Responden 466,3,3,3,2,2,3,3,1
,Responden 467,3,2,2,3,2,2,3,2
,Responden 468,3,2,2,3,2,2,3,2
,Responden 469,3,2,2,3,3,2,2,3
,Responden 470,4,3,4,3,3,1,1,3
,Responden 471,4,3,4,3,3,1,1,3
,Responden 472,4,1,2,0,3,3,2,4
,Responden 473,3,3,3,3,0,2,3,1
,Responden 474,3,3,2,1,3,1,3,1
,Responden 475,3,3,2,3,3,3,3,3
,Responden 476,4,3,4,3,3,1,1,3
,Responden 477,3,2,3,2,4,2,3,0
,Responden 478,4,3,4,3,3,1,1,3
,Responden 479,2,4,3,3,2,2,1,0
,Responden 480,3,1,1,4,4,1,2,2
,Responden 481,2,1,1,3,3,3,3,1
,Responden 482,3,3,3,3,0,2,3,1
,Responden 483,1,2,1,1,4,1,2,1
,Responden 484,3,3,2,1,3,1,3,1
,Responden 485,1,1,2,3,4,2,2,0
,Responden 486,3,1,1,2,1,3,1,3
,Responden 487,3,2,3,3,2,2,3,1
,Responden 488,4,1,2,4,4,3,4,3
,Responden 489,3,1,1,1,3,1,3,1
,Responden 490,3,3,2,1,1,1,3,0
,Responden 491,3,2,1,1,3,1,3,2
,Responden 492,2,1,3,3,3,1,2,3
,Responden 493,3,3,2,1,4,1,3,3
,Responden 494,4,1,2,4,4,3,4,3
,Responden 495,3,3,3,3,0,2,3,1
,Responden 496,3,2,2,1,1,1,4,3
,Responden 497,4,2,3,3,1,2,4,4
,Responden 498,2,1,2,2,4,1,2,2
,Responden 499,3,3,2,2,3,2,3,1
,Responden 500,3,2,2,3,4,2,2,3
,Responden 501,4,3,2,4,4,0,4,3
